ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
"AT0000720008"	"EUR"	0	0	0	0	0	0	0	0
"AT0000821103"	"EUR"	0	0	0	0	0	0	0	0
"AT0000746409"	"EUR"	0	0	0	0	0	0	0	0
"AT0000908504"	"EUR"	0	0	0	0	0	0	0	0
"FR0000125338"	"EUR"	0	0	0	0	0	0	0	0
"AT0000837307"	"EUR"	0	0	0	0	0	0	0	0
"GB00B23K0M20"	"GBX"	71	104	815295	651551	2476913	2523758	2568000	0
"AT0000946652"	"EUR"	0	0	0	0	0	0	0	0
"AT0000652250"	"EUR"	0	0	0	0	0	0	0	0
"DK0010287663"	"DKK"	23	0	1978	0	21640000	0	21640000	0
"CA74836K1003"	"NOK"	0	0	0	0	0	0	0	0
"FI0009013429"	"EUR"	0	0	0	0	0	0	0	0
"DK0060946788"	"DKK"	0	0	0	0	0	0	0	0
"ES0167050915"	"EUR"	0	46	0	276	0	2670000	0	0
"DK0010181759"	"DKK"	0	0	0	0	0	0	0	0
"GB0031215220"	"GBX"	552	522	100804	93265	64495289	65289788	66340000	0
"CH0008837566"	"CHF"	191	152	6065	5611	15611910	15818392	15780000	0
"GB00B4Y7R145"	"GBX"	131	137	492648	535673	6838629	6949059	6925000	0
"CH0024590272"	"CHF"	104	84	3203	2524	18006806	18802060	18940000	0
"FR0000120172"	"EUR"	0	23	0	1702	0	2293000	0	0
"CH0019107025"	"CHF"	57	7	1159	91	17630112	17864285	17750000	0
"CH0127480363"	"CHF"	91	77	4807	4072	8939165	9066490	9120000	0
"CH0025536027"	"CHF"	147	154	1952	2129	39377074	39953546	39750000	0
"CH0531751755"	"CHF"	160	213	11445	53458	7643802	8860460	7720000	0
"CH0038389992"	"CHF"	141	117	26148	25428	5590497	5751594	5710000	0
"CH0130293662"	"CHF"	115	234	7626	14571	10117247	10376304	10210000	0
"CH0012684657"	"CHF"	124	158	8219	10153	5882547	6101907	6040000	0
"CH0238627142"	"CHF"	180	182	6800	5737	18257029	18624884	18640000	0
"CH0212255803"	"CHF"	150	127	8237	5014	6916583	7495867	7440000	0
"CH0011432447"	"CHF"	138	146	14749	18489	3609295	3878755	3860000	0
"CH0002432174"	"CHF"	139	113	2133	1748	33498509	33897219	33760000	0
"CH0225173167"	"CHF"	156	246	12595	23534	6719135	7673166	6960000	0
"CH0244017502"	"CHF"	143	179	1158	1546	67317271	69062419	68600000	0
"NL0011832936"	"CHF"	111	132	11702	13478	4670325	4741654	4715000	0
"CH0360826991"	"CHF"	124	191	6731	10390	14000142	14436939	14680000	0
"GB00B033F229"	"GBX"	811	769	2181518	2044215	8102868	8285204	8212000	0
"CH0030486770"	"CHF"	151	94	4525	3040	19488265	19707500	19760000	0
"CH0012829898"	"CHF"	163	118	1345	900	91390483	92463111	92700000	0
"CH0003541510"	"CHF"	94	113	557	588	125424416	126893877	126800000	0
"CH0012627250"	"CHF"	139	302	5404	21239	25192403	30784996	26450000	0
"FR0013181864"	"EUR"	0	0	0	0	0	0	0	0
